segment,count,MAE,RMSE,R2,MAPE,Within_10pct
Food Processing,34,1.6505286315655763,2.280514617934272,0.4853250578062558,10.5911977091633,61.76470588235294
Refrigeration/Cold Storage,19,1.567697934343659,2.1388216001316502,0.373707065291232,13.412082623567176,57.89473684210527
unknown,168,1.393671844992409,1.8330121756024331,0.6020991776127238,13.537808464565323,57.738095238095234
Distribution,98,1.3843092837477882,1.8922270423729421,0.6282421785796527,12.66763725673313,53.06122448979592
Manufacturing,448,1.3548309244485652,1.8161386689274044,0.6229275063469562,13.707783549052374,56.47321428571429
Truck Terminal,21,1.2069870891946723,1.4653334050493745,0.30903974925075073,10.072805572243903,66.66666666666666
Showroom,43,1.2027177779857117,1.5226447015388176,0.6042002867464309,11.863800392068082,67.44186046511628
Service,227,1.2020854266560133,1.7121764130289048,0.6141943471390449,10.372497829787088,60.792951541850215
Warehouse,1448,1.1648875337747995,1.6140485999174277,0.6473571086573107,10.35085250499304,68.50828729281768
