segment,count,MAE,RMSE,R2,MAPE,Within_10pct
Very High,76,4.58974694554859,4.857646765708919,-22.317818489235428,24.038353402915536,0.0
Very Low,233,2.5407241093998345,2.9683096346901983,-7.539537853023921,38.58833491870778,9.871244635193133
Low,532,1.2537623455900835,1.5272714942213306,-2.983427362761694,12.87995735946664,45.67669172932331
High,660,1.2155170848667753,1.4719226543548325,-2.5027634837690638,7.9264500330514505,72.12121212121212
Medium,1006,0.6856282886905924,0.8473622884782976,0.14097173658278161,5.4049691282974175,86.08349900596421
