segment,count,MAE,RMSE,R2,MAPE,Within_10pct
"Springfield , MA",250,1.3479644776772814,1.7716071787501215,0.12271245004474429,17.73626219011276,41.199999999999996
"Worcester, MA",377,1.2892095723981016,1.7737318000839872,0.2696655376185719,14.148930483933134,54.11140583554377
"Boston, MA",1403,1.2270502691645422,1.6831856105945324,0.3392062368093812,9.243689777333156,71.20456165359943
"Providence, RI",277,1.2032011369839053,1.65204862651332,-0.05866890711733208,12.936651419279672,59.56678700361011
"Barnstable Town, MA",95,1.1834829067761612,1.815816350795499,-0.053862402180556046,8.473586184002809,77.89473684210526
"Pittsfield, MA",63,1.0883574423473807,1.60882668856618,0.10136412546346618,11.90893454254133,53.96825396825397
Unknown Market,42,0.9746576626944496,1.2106903495583565,-2.3121894175688515,11.027977867325351,69.04761904761905
