feature,importance,importance_pct
log_rent_sf_yr,0.2837505256091506,28.375052560915066
Longitude,0.10700300390161253,10.700300390161255
FEMA Map Date_target_encoded,0.08609313498492199,8.6093134984922
properties_within_5mi,0.048854449749057324,4.885444974905733
Latitude,0.04717859431451155,4.717859431451156
Origination Date_target_encoded,0.036252306010181444,3.625230601018145
FEMA Map Date_frequency,0.031276875780345756,3.127687578034576
dist_to_market_center,0.024184841953930905,2.418484195393091
Floodplain Area_unknown,0.018542684160204232,1.8542684160204235
Flood Risk Area_unknown,0.018094618507168488,1.8094618507168492
properties_within_1mi,0.01693303323158961,1.6933033231589611
Fema Flood Zone_unknown,0.01629640574021572,1.6296405740215723
Rent/SF/Yr_is_outlier_low,0.013112946153275287,1.311294615327529
Rent/SF/Yr_is_outlier_high,0.01299341055660751,1.2993410556607512
distance_age_interaction,0.012594509968821981,1.2594509968821983
Zoning_target_encoded,0.011633218155227032,1.1633218155227034
RBA,0.010631652211605998,1.0631652211606
Typical Floor Size,0.010056815925512589,1.005681592551259
Building Operating Expenses,0.009755302488284746,0.9755302488284748
rent_per_parking,0.009398410619337048,0.939841061933705
